PRICE,QTY,ITEM,LINK
$0.00,x1,XIAO RP2040,
$0.00,x2,MCP23017 GPIO Expander (SPDIP),
$0.00,x109,1N2007 (DO-35),
$0.00,x2,Rotary Encoder Switches,
$0.00,x1,.91inch OLED,
$0.00,x1,3D Printed Case,
$24.00,x1,Key Cap Set,https://www.aliexpress.com/item/1005007817761888.html
$16.20,x109,Switches,https://www.aliexpress.com/item/1005002378701948.html
$3.68,x1,Key Stabalizers Set,https://www.aliexpress.com/item/1005004229140548.html
$33.40,x1,PCB,
$18.63,x1,GSDL SHIPING,
-$20,,BP Coupon,
$75.91,,TOTAL With Coupon,
$95.91,,TOTAL Without Coupon,
